film_id,length,rating,"Average Rental Duration",Num_film_rentals,Rental_month,Category
831,138,PG-13,5,5,7,Sci-Fi
832,175,PG,5,7,7,Family
833,134,R,5,10,7,Children
834,151,G,4,4,7,Documentary
835,112,PG-13,6,10,7,Games
836,136,PG,3,4,7,Sports
837,85,PG,4,4,7,Comedy
838,112,R,5,12,7,Action
839,130,PG-13,5,3,7,Sci-Fi
840,75,R,5,4,7,Games
841,181,PG,5,10,7,Sports
842,113,NC-17,4,5,7,Games
843,143,NC-17,4,7,7,Classics
844,140,PG,6,7,7,Sports
845,48,NC-17,7,7,7,Foreign
846,93,NC-17,3,9,7,New
847,160,PG,7,7,7,New
848,94,G,3,5,7,Travel
849,57,NC-17,6,11,7,Animation
850,163,R,7,11,7,Action
851,151,R,3,8,7,Sports
852,103,NC-17,4,12,7,Children
853,139,G,3,6,7,Children
854,119,R,4,8,7,Horror
855,132,PG-13,7,6,7,Documentary
856,73,R,5,10,7,Horror
857,144,PG-13,3,10,7,Comedy
858,127,R,5,5,7,Comedy
859,114,PG,3,8,7,Animation
861,111,R,3,9,7,Games
862,53,G,5,6,7,Classics
863,141,R,5,12,7,Sci-Fi
864,92,NC-17,5,9,7,Children
865,135,PG-13,3,10,7,Animation
866,48,NC-17,6,4,7,Family
867,58,PG,5,4,7,Family
868,114,PG,5,4,7,Travel
869,47,PG,4,12,7,Action
870,123,PG-13,4,11,7,Horror
871,176,PG,6,7,7,Comedy
872,185,R,3,6,7,Travel
873,108,G,3,13,7,Children
875,173,PG,6,10,7,Sports
876,91,PG-13,3,4,7,Horror
877,64,PG-13,4,6,7,Music
878,74,G,3,6,7,Travel
879,148,PG,3,11,7,Music
880,152,PG-13,6,14,7,Animation
881,71,PG,5,6,7,Horror
882,99,PG-13,4,7,7,Drama
883,53,PG,6,3,7,Children
884,88,R,5,3,7,Music
885,179,NC-17,7,3,7,Horror
886,184,PG-13,5,6,7,Animation
887,135,PG-13,5,5,7,Animation
888,53,PG-13,5,5,7,Documentary
889,111,R,3,4,7,Children
890,172,R,5,14,7,Sports
891,69,G,3,14,7,Classics
892,104,R,3,11,7,Animation
893,91,PG,4,14,7,Sci-Fi
894,68,PG,6,4,7,Travel
895,142,R,3,11,7,Classics
896,157,PG,3,5,7,Children
897,179,G,3,11,7,Drama
898,152,PG-13,4,10,7,Sports
899,144,NC-17,7,3,7,Classics
900,136,R,6,6,7,Foreign
901,142,G,3,12,7,Animation
902,170,PG,6,12,7,Sports
903,139,G,5,2,7,Travel
904,71,R,3,1,7,Horror
905,132,PG-13,7,6,7,Comedy
906,171,PG,4,8,7,Comedy
907,168,PG-13,4,6,7,Drama
908,110,G,3,7,7,Foreign
910,87,PG,3,3,7,Drama
911,64,PG-13,7,14,7,Action
912,52,PG,3,5,7,Sci-Fi
913,115,R,3,7,7,New
914,61,PG,6,10,7,Travel
915,92,G,7,9,7,Action
916,80,G,3,6,7,Animation
917,152,R,3,6,7,Sports
918,152,PG,4,5,7,Children
919,82,G,3,6,7,Games
920,62,G,3,5,7,New
921,172,PG-13,7,5,7,Music
922,107,PG-13,7,9,7,Horror
923,78,R,7,2,7,Drama
924,129,PG,7,5,7,Sci-Fi
925,164,R,3,6,7,Documentary
926,120,NC-17,5,3,7,Documentary
927,174,NC-17,6,6,7,Action
928,84,PG,5,6,7,Children
929,128,PG-13,5,6,7,Foreign
930,145,R,4,10,7,Sci-Fi
931,48,PG-13,7,3,7,Travel
932,73,G,3,6,7,Comedy
933,126,NC-17,4,6,7,New
934,122,NC-17,7,5,7,Games
935,142,R,5,3,7,New
936,123,NC-17,3,8,7,Music
937,85,NC-17,7,6,7,New
938,173,R,3,10,7,Comedy
939,90,R,4,3,7,Comedy
940,64,PG-13,6,5,7,Sports
941,145,NC-17,4,10,7,Games
942,174,PG-13,7,6,7,Drama
944,179,PG-13,6,8,7,Drama
945,164,R,5,10,7,Documentary
946,144,NC-17,3,5,7,Family
947,59,PG-13,5,3,7,Foreign
948,139,PG-13,6,6,7,New
949,157,NC-17,6,7,7,Games
951,78,PG-13,6,12,7,Classics
952,152,PG,7,5,7,Documentary
953,112,PG-13,3,6,7,Animation
956,107,PG-13,7,7,7,Games
957,80,G,7,5,7,Foreign
958,178,G,6,9,7,Drama
959,83,G,6,4,7,Children
960,128,G,5,6,7,Documentary
961,161,R,7,7,7,Foreign
962,85,PG,7,6,7,Classics
963,78,PG,5,8,7,Animation
964,61,G,4,7,7,Action
965,112,G,6,2,7,Horror
966,70,PG,3,11,7,Documentary
967,134,R,5,8,7,Sci-Fi
968,79,G,6,5,7,Action
969,159,G,4,6,7,Drama
970,52,NC-17,7,12,7,Classics
971,109,PG-13,4,7,7,Foreign
972,59,PG-13,4,9,7,Sci-Fi
973,183,NC-17,3,12,7,Documentary
974,181,R,4,3,7,New
975,137,R,6,8,7,Family
976,111,R,6,10,7,Games
977,85,R,3,6,7,Travel
978,98,R,3,5,7,Comedy
979,100,NC-17,6,11,7,Drama
980,75,PG,4,7,7,Music
981,55,NC-17,7,9,7,Travel
982,126,R,4,10,7,Action
983,105,PG,7,4,7,Music
984,126,NC-17,3,4,7,Foreign
985,111,PG,4,10,7,Sci-Fi
986,85,NC-17,6,8,7,Animation
987,116,PG,3,6,7,Music
988,139,R,7,6,7,Travel
989,74,R,4,10,7,Travel
990,171,PG-13,3,4,7,Horror
991,185,PG,4,7,7,Action
992,176,NC-17,5,7,7,Documentary
993,178,PG-13,6,10,7,Children
994,100,PG-13,6,6,7,New
995,86,R,5,10,7,Horror
996,183,G,6,3,7,Documentary
997,179,NC-17,4,2,7,Music
998,105,NC-17,6,3,7,Horror
999,101,R,5,7,7,Children
1000,50,NC-17,3,12,7,Comedy
